GS	Frag_1	Frag_2	Frag_3	Frag_4	Frag_5	Frag_6	Frag_7
1.0	1	2	3	4	5	6	7
1.1	1'	2	3	4	5	6	7
1.2	1	2'	3	4	5	6	7
1.24	1	2	3	4'	5'	6	7
1.25	1'	2	3	4'	5'	6	7
1.64	1	2	3	4	5	6	7'
1.9	1'	2	3	4'	5	6	7
1.123	1'	7'	6'	5'	4'	3	2'
2.67	1'	7'	3	4	5	6	2'
2.90	1	7'	3	4'	5'	6	2'
3.25	1'	4'	5'	2	3	6	7
4.96	1	7'	6'	2	3	4	5
4.97	1'	7'	6'	2	3	4	5
5.99	1'	7'	6'	3	4	5	2'
6.32	1	2	6'	3	4	5	7
7.120	1	2	3	7'	6'	5'	4'
8.3	1'	3	4	5	6	7	2'
9.16	1	2	5'	3	6	4	7
10.65	1'	7'	2	3	4	5	6
11.59	1'	4'	6'	5'	3	7	2'
12.56	1	2	3	6'	5'	4'	7
13.113	1'	7'	6'	5'	2	3	4
14.64	1	2	7'	3	4	5	6
