GS	Frag_1	Frag_2	Frag_3	Frag_4	Frag_5	Frag_6	Frag_7
1.0	1	2	3	4	5	6	7
1.1	1'	2	3	4	5	6	7
1.123	1'	7'	6'	5'	4'	3	2'
2.57	1'	2	4'	6'	5'	3	7
2.66	1	7'	3	5	6	4	2'
2.67	1'	7'	3	5	6	4	2'
3.67	1'	7'	3	4	6	5	2'
4.0	1	2	3	6	4	5	7
4.1	1'	2	3	6	4	5	7
5.65	1'	7'	2	3	4	5	6
6.66	1	7'	3	5	4	6	2'
6.67	1'	7'	3	5	4	6	2'
7.56	1	2	4'	5'	6'	3	7
7.66	1	7'	3	6	5	4	2'
8.56	1	2	6'	5'	4'	3	7
8.66	1	7'	3	4	5	6	2'
8.67	1'	7'	3	4	5	6	2'
9.2	1	3	4	5	6	7	2'
9.3	1'	3	4	5	6	7	2'
10.74	1	7'	4'	3	5	6	2'
11.0	1	2	3	5	6	4	7
11.1	1'	2	3	5	6	4	7
11.122	1	7'	4'	6'	5'	3	2'
12.0	1	2	3	4	6	5	7
12.1	1'	2	3	4	6	5	7
13.17	1'	5'	2	3	6	4	7
14.0	1	2	3	6	5	4	7
14.1	1'	2	3	6	5	4	7
15.16	1	2	5'	3	6	4	7
15.17	1'	2	5'	3	6	4	7
15.106	1	7'	4'	6'	3	5	2'
16.32	1	2	6'	3	5	4	7
16.33	1'	2	6'	3	5	4	7
17.0	1	2	3	5	4	6	7
17.1	1'	2	3	5	4	6	7
17.122	1	7'	6'	4'	5'	3	2'
18.82	1	7'	5'	3	4	6	2'
19.9	1'	2	4'	3	5	6	7
19.115	1'	7'	6'	5'	3	4	2'
20.19	1'	5'	3	6	4	2'	7
21.3	1'	3	5	6	4	2'	7
22.48	1	5'	6'	2	3	4	7
23.10	1	4'	3	6	7	2'	5
24.40	1	2	4'	6'	3	5	7
24.82	1	7'	5'	3	6	4	2'
25.113	1'	7'	6'	5'	2	3	4
26.57	1'	5'	6'	4'	2	3	7
27.114	1	7'	5'	6'	3	4	2'
28.91	1'	7'	5'	4'	3	6	2'
29.25	1'	2	5'	4'	3	6	7
29.98	1	7'	6'	3	4	5	2'
29.99	1'	7'	6'	3	4	5	2'
30.51	1'	5'	6'	3	4	2'	7
31.25	1'	2	4'	5'	3	6	7
31.98	1	7'	6'	3	5	4	2'
32.9	1'	4'	2	3	6	5	7
33.121	1'	7'	6'	5'	4'	2	3
34.56	1	5'	4'	6'	2	3	7
35.97	1'	7'	6'	2	3	4	5
36.48	1	6'	5'	2	3	4	7
37.18	1	5'	3	4	2'	6	7
38.48	1	2	5'	6'	3	4	7
39.16	1	5'	2	3	4	6	7
40.90	1	4'	7'	5'	3	2'	6
41.50	1	6'	5'	3	4	7	2'
42.66	1	7'	3	5	6	2'	4
